Address:,USB0::0x0957::0x179B::MY58106376::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,-0.0017107845,4.63404558971524,0.00229899119585752,
,,,-0.0017104205,4.63404558971524,0.00631909212097526,
,,,-0.0017100565,4.63404558971524,0.00631909212097526,
,,,-0.0017096925,4.5938445776701,-0.00172110972926021,
,,,-0.0017093285,4.5938445776701,-0.00574121065437794,
,,,-0.0017089645,4.5938445776701,0.00229899119585752,
,,,-0.0017086005,4.63404558971524,0.00631909212097526,
,,,-0.0017082365,4.63404558971524,-0.00172110972926021,
,,,-0.0017078725,4.5938445776701,-0.00574121065437794,
,,,-0.0017075085,4.63404558971524,0.00631909212097526,
,,,-0.0017071445,4.63404558971524,0.00229899119585752,
,,,-0.0017067805,4.5938445776701,-0.00574121065437794,
,,,-0.0017064165,4.63404558971524,-0.00172110972926021,
,,,-0.0017060525,4.63404558971524,0.00229899119585752,
,,,-0.0017056885,4.63404558971524,0.00229899119585752,
,,,-0.0017053245,4.5938445776701,-0.00574121065437794,
,,,-0.0017049605,4.5938445776701,-0.00574121065437794,
,,,-0.0017045965,4.63404558971524,0.00229899119585752,
,,,-0.0017042325,4.63404558971524,0.010339193046093,
,,,-0.0017038685,4.63404558971524,-0.00574121065437794,
,,,-0.0017035045,4.63404558971524,-0.00574121065437794,
,,,-0.0017031405,4.63404558971524,0.00631909212097526,
,,,-0.0017027765,4.63404558971524,0.00631909212097526,
,,,-0.0017024125,4.63404558971524,-0.00172110972926021,
,,,-0.0017020485,4.63404558971524,-0.00172110972926021,
,,,-0.0017016845,4.63404558971524,0.00631909212097526,
,,,-0.0017013205,4.63404558971524,0.00631909212097526,
,,,-0.0017009565,4.63404558971524,-0.00172110972926021,
,,,-0.0017005925,4.63404558971524,-0.00172110972926021,
,,,-0.0017002285,4.63404558971524,-0.00172110972926021,
,,,-0.0016998645,4.63404558971524,0.00631909212097526,
,,,-0.0016995005,4.63404558971524,-0.00172110972926021,
,,,-0.0016991365,4.5938445776701,-0.00574121065437794,
,,,-0.0016987725,4.63404558971524,0.00631909212097526,
,,,-0.0016984085,4.5938445776701,-0.00172110972926021,
,,,-0.0016980445,4.5938445776701,-0.00172110972926021,
,,,-0.0016976805,4.63404558971524,0.00229899119585752,
,,,-0.0016973165,4.63404558971524,-0.00172110972926021,
,,,-0.0016969525,4.63404558971524,-0.00574121065437794,
,,,-0.0016965885,4.63404558971524,0.00229899119585752,
,,,-0.0016962245,4.63404558971524,-0.00172110972926021,
,,,-0.0016958605,4.5938445776701,-0.00574121065437794,
,,,-0.0016954965,4.63404558971524,0.00229899119585752,
,,,-0.0016951325,4.63404558971524,0.0143592939712107,
,,,-0.0016947685,4.63404558971524,-0.00574121065437794,
,,,-0.0016944045,4.5938445776701,-0.00976131157949567,
,,,-0.0016940405,4.63404558971524,0.00229899119585752,
,,,-0.0016936765,4.63404558971524,0.00631909212097526,
,,,-0.0016933125,4.5938445776701,-0.00172110972926021,
,,,-0.0016929485,4.63404558971524,-0.00574121065437794,
,,,-0.0016925845,4.5938445776701,0.00229899119585752,
,,,-0.0016922205,4.63404558971524,0.010339193046093,
,,,-0.0016918565,4.63404558971524,-0.00574121065437794,
,,,-0.0016914925,4.5938445776701,-0.00976131157949567,
,,,-0.0016911285,4.63404558971524,0.00631909212097526,
,,,-0.0016907645,4.63404558971524,0.00229899119585752,
,,,-0.0016904005,4.5938445776701,-0.00976131157949567,
,,,-0.0016900365,4.5938445776701,-0.00172110972926021,
,,,-0.0016896725,4.63404558971524,0.010339193046093,
,,,-0.0016893085,4.63404558971524,0.00229899119585752,
,,,-0.0016889445,4.63404558971524,-0.00574121065437794,
,,,-0.0016885805,4.63404558971524,-0.00574121065437794,
,,,-0.0016882165,4.63404558971524,0.00631909212097526,
,,,-0.0016878525,4.63404558971524,-0.00172110972926021,
,,,-0.0016874885,4.63404558971524,-0.00976131157949567,
,,,-0.0016871245,4.63404558971524,-0.00574121065437794,
